user_id,name,city,age,source,registered_at,order_id,order_date,category,amount,status
36531,Артём Волков,Краснодар,38,email,2025-03-11 16:00:00,141114,2025-06-22 16:00:00,Clothing,5048.14,returned
36738,Артём Морозов,Екатеринбург,63,,2026-03-24 20:00:00,200584,2026-04-02 20:00:00,Books,100085.64,returned
12748,Максим Сидоров,Краснодар,58,social,2026-03-02 22:00:00,133499,2026-06-24 22:00:00,Home,55017.65,pending
20291,Дмитрий Волков,Москва,18,email,2025-03-12 18:00:00,145053,2025-06-02 18:00:00,Home,49928.84,completed
3380,Сергей Иванов,Екатеринбург,47,social,2025-11-13 18:00:00,143977,2025-12-19 18:00:00,Electronics,31371.82,completed
34347,Дмитрий Смирнов,Москва,31,organic,2025-12-10 05:00:00,172123,2026-01-01 05:00:00,Electronics,108797.23,completed
24464,Максим Иванов,Санкт-Петербург,21,social,2025-11-14 21:00:00,113872,2026-02-27 21:00:00,Electronics,101489.22,completed
8629,Сергей Волков,Казань,43,,2026-04-15 14:00:00,219144,2026-06-21 14:00:00,Home,131108.99,returned
11319,Елена Волков,Санкт-Петербург,42,social,2025-10-08 08:00:00,107927,2025-11-07 08:00:00,Clothing,18713.43,completed
17627,Артём Иванов,Москва,53,email,2025-08-07 16:00:00,123278,2025-09-02 16:00:00,Clothing,9918.57,completed
8795,Ольга Волков,Нижний Новгород,29,,2026-04-12 21:00:00,177108,2026-07-26 21:00:00,Clothing,78804.67,completed
15011,Максим Смирнов,Екатеринбург,54,partner,2025-05-26 19:00:00,212976,2025-09-02 19:00:00,Clothing,48640.67,pending
28477,Ольга Петров,Самара,52,,2026-04-15 11:00:00,119454,2026-05-12 11:00:00,Clothing,101254.75,pending
30002,Анна Петров,Самара,52,advertising,2025-04-23 02:00:00,135119,2025-07-07 02:00:00,Beauty,93610.36,
28312,Ольга Сидоров,Краснодар,41,partner,2025-11-18 05:00:00,151548,2025-12-28 05:00:00,Home,114284.86,completed
28716,Максим Морозов,Нижний Новгород,45,advertising,2025-06-27 00:00:00,173256,2025-09-26 00:00:00,Electronics,147747.29,completed
25917,Максим Кузнецов,Санкт-Петербург,22,,2025-06-07 18:00:00,132760,2025-08-09 18:00:00,Home,139530.44,pending
5872,Максим Кузнецов,Казань,61,,2025-04-10 22:00:00,154667,2025-08-06 22:00:00,Clothing,34992.35,completed
3824,Сергей Кузнецов,Казань,20,email,2025-01-03 22:00:00,200116,2025-01-31 22:00:00,Home,92083.14,returned
18146,Мария Сидоров,Самара,37,social,2026-01-20 13:00:00,114681,2026-01-25 13:00:00,Electronics,10110.76,pending
5364,Мария Петров,Москва,30,organic,2025-07-21 23:00:00,151392,2025-09-25 23:00:00,Books,45827.4,pending
7257,Анна Попов,Москва,21,email,2025-07-15 01:00:00,132144,2025-10-07 01:00:00,Home,24640.67,returned
8410,Иван Попов,Екатеринбург,22,,2025-03-28 10:00:00,180819,2025-06-26 10:00:00,Electronics,100797.76,completed
39130,Елена Морозов,Краснодар,29,organic,2025-11-08 21:00:00,157808,2026-01-17 21:00:00,Books,47853.8,returned
11022,Мария Волков,Санкт-Петербург,30,,2025-04-22 07:00:00,148865,2025-05-28 07:00:00,Home,42752.82,pending
15431,Дмитрий Смирнов,Нижний Новгород,42,organic,2026-03-13 22:00:00,119429,2026-06-11 22:00:00,Beauty,149407.19,cancelled
39680,Мария Морозов,Екатеринбург,34,advertising,2025-10-09 05:00:00,115805,2025-10-15 05:00:00,Books,23687.5,completed
15731,Анна Иванов,Москва,52,email,2025-05-28 12:00:00,198262,2025-06-26 12:00:00,Home,-41012.08,
22577,Алексей Попов,Казань,24,,2025-09-19 21:00:00,205474,2026-01-08 21:00:00,Sports,104364.52,returned
